,Time,RasGDP,GAP,RasGTP,Ras_Raf
309,0.309,19999.998302985307,14999.999892226393,0.00014748051562632765,0.0014417605724019818
310,0.31,19999.998307513437,14999.999892246145,0.0001472749760938741,0.001437457730499335
311,0.311,19999.998312027383,14999.999892265772,0.00014707065998386906,0.0014331677304316916
312,0.312,19999.99831652722,14999.999892285285,0.00014686752928993243,0.0014288905338733302
313,0.313,19999.99832101304,14999.999892304679,0.0001466655361887586,0.0014246261026127323
314,0.314,19999.99832548493,14999.999892323964,0.0001464646389484076,0.0014203743985523889
315,0.315,19999.998329942966,14999.999892343147,0.00014626479658211113,0.001416135383708409
316,0.316,19999.998334387237,14999.999892362226,0.00014606596843825265,0.0014119090202101721
317,0.317,19999.99833881783,14999.99989238121,0.00014586811379034735,0.0014076952702999864
318,0.318,19999.998343234813,14999.999892400101,0.00014567119142702229,0.0014034940963327392
319,0.319,19999.998347638237,14999.9998924189,0.00014547520537986809,0.0013993054607768535
320,0.32,19999.9983520281,14999.999892437603,0.00014528017917581827,0.0013951293262132274
321,0.321,19999.998356404525,14999.99989245622,0.00014508603759833991,0.00139096565533157
322,0.322,19999.998360767582,14999.999892474749,0.00014489275569923687,0.001386814410934265
323,0.323,19999.998365117335,14999.999892493197,0.0001447003092457795,0.0013826755559346402
324,0.324,19999.998369453842,14999.999892511567,0.0001445086745159839,0.0013785490533566277
325,0.325,19999.998373777165,14999.999892529859,0.00014431782809389013,0.0013744348663344238
326,0.326,19999.99837808737,14999.999892548076,0.00014412774666484117,0.0013703329581121512
327,0.327,19999.998382384485,14999.999892566215,0.0001439384367785652,0.001366243292045437
328,0.328,19999.998386668554,14999.999892584285,0.00014374989716879792,0.0013621658315986732
329,0.329,19999.998390939647,14999.999892602276,0.0001435620909039072,0.0013581005403429033
330,0.33,19999.998395197814,14999.999892620199,0.0001433750028322575,0.0013540473819591788
331,0.331,19999.99839944311,14999.999892638052,0.00014318861817966516,0.0013500063202368595
332,0.332,19999.998403675596,14999.99989265584,0.00014300292241887477,0.0013459773190732805
333,0.333,19999.998407895317,14999.999892673562,0.00014281790113903527,0.0013419603424734145
334,0.334,19999.998412102326,14999.999892691218,0.00014263353991517637,0.0013379553545495384
335,0.335,19999.998416296643,14999.999892708809,0.00014244985271097356,0.0013339623195246014
336,0.336,19999.998420478303,14999.999892726339,0.0001422668335377586,0.001329981201725632
337,0.337,19999.998424647376,14999.999892743801,0.00014208446032393026,0.0013260119655839225
